code,state,h1b,unemployment,gdp,greencard,year
AL,Alabama,1030,11.14,673258,209,2009
AK,Alaska,173,7.74,201851,10,2009
AZ,Arizona,2765,10.25,970036,800,2009
AR,Arkansas,914,7.9,392081,598,2009
CA,Califonia,41635,11.25,7648460,11205,2009
CO,Colorado,2516,7.56,989080,689,2009
CT,Connecticut,4243,8.07,934246,600,2009
DE,Delaware,1301,8.27,229399,275,2009
,District of Columbia,,9.31,393660,199,2009
FL,Florida,10507,10.53,2887020,2995,2009
GA,Georgia,7139,10.04,1618299,2325,2009
HI,Hawaii,489,7.13,261527,75,2009
ID,Idaho,434,8.83,215529,184,2009
IL,Illinois,12136,10.31,2552127,2138,2009
IN,Indiana,2229,10.4,1048272,786,2009
IA,Iowa,1410,6.41,548278,395,2009
KS,Kansas,1353,6.91,495946,178,2009
KY,Kentucky,1038,10.45,625274,180,2009
LA,Louisiana,1632,6.93,843518,280,2009
ME,Maine,419,8.12,201621,71,2009
MD,Maryland,6484,7.06,1203715,900,2009
MA,Massachusetts,9777,8.3,1542794,2200,2009
MI,Michigan,6215,13.78,1452585,1985,2009
MN,Minnesota,3210,7.8,1032663,700,2009
MS,Mississippi,388,9.7,374676,80,2009
MO,Missouri,2791,9.32,1001743,428,2009
MT,Montana,99,6.93,144318,19,2009
NE,Nebraska,752,4.65,347842,512,2009
NV,Nevada,705,11.45,480810,108,2009
NH,New Hampshire,889,6.27,248822,128,2009
NJ,New Jersey,19603,9.12,1928572,5200,2009
NM,New Mexico,590,7.7,331350,154,2009
NY,New York,26253,8.42,4593629,6014,2009
NC,North Carolina,4527,10.64,1631384,1420,2009
ND,North Dakota,309,4.1,129955,80,2009
OH,Ohio,5621,10.41,1918106,854,2009
OK,Oklahoma,1042,6.42,574591,162,2009
OR,Oregon,1833,11.29,724089,564,2009
PA,Pennsylvania,8686,8.2,2295857,1100,2009
RI,Rhode Island,597,11.06,190836,228,2009
SC,South Carolina,1020,11.33,641755,399,2009
SD,South Dakota,148,4.93,146747,45,2009
TN,Tennessee,2100,10.6,986163,548,2009
TX,Texas,20073,7.62,4666063,10254,2009
UT,Utah,870,7.49,452776,209,2009
VT,Vermont,233,6.6,102108,60,2009
VA,Virgina,8864,6.75,1629209,1854,2009
WA,Washington,7195,9.19,1393858,2015,2009
WV,West Virgina,370,7.78,255463,39,2009
WI,Wisconsin,2161,8.65,979978,625,2009
WY,Wyoming,117,6.34,148518,17,2009
AL,Alabama,1387,10.53,698841,218,2010
AK,Alaska,235,7.86,216537,18,2010
AZ,Arizona,4047,10.42,982671,989,2010
AR,Arkansas,1325,8.18,411804,618,2010
CA,Califonia,60192,12.14,7863543,13235,2010
CO,Colorado,3447,8.75,1013499,700,2010
CT,Connecticut,5472,9.11,938113,620,2010
DE,Delaware,1763,8.39,229886,281,2010
,District of Columbia,3543,9.4,415324,200,2010
FL,Florida,14619,10.89,2940390,3025,2010
GA,Georgia,9182,10.39,1649939,2457,2010
HI,Hawaii,729,6.94,272899,80,2010
ID,Idaho,437,8.98,221032,108,2010
IL,Illinois,16966,10.27,2613904,2415,2010
IN,Indiana,3362,10.25,1129036,602,2010
IA,Iowa,1909,5.98,566787,409,2010
KS,Kansas,1590,7.01,514166,180,2010
KY,Kentucky,1570,10.18,663895,185,2010
LA,Louisiana,1968,7.95,930384,299,2010
ME,Maine,559,8.13,205824,79,2010
MD,Maryland,8445,7.58,1255806,1254,2010
MA,Massachusetts,13039,8.28,1610609,2102,2010
MI,Michigan,7661,12.42,1540085,2014,2010
MN,Minnesota,4471,7.34,1079749,852,2010
MS,Mississippi,659,10.33,383240,89,2010
MO,Missouri,3789,9.53,1023459,501,2010
MT,Montana,140,7.29,153501,20,2010
NE,Nebraska,1074,4.62,368923,529,2010
NV,Nevada,1085,13.53,486854,119,2010
NH,New Hampshire,1097,5.83,256634,139,2010
NJ,New Jersey,21828,9.5,1956519,6154,2010
NM,New Mexico,838,8.13,344318,160,2010
NY,New York,39136,8.58,4818754,6241,2010
NC,North Carolina,6645,10.73,1664034,1724,2010
ND,North Dakota,357,3.78,144810,82,2010
OH,Ohio,7556,10.15,1995958,1250,2010
OK,Oklahoma,1255,6.76,599654,163,2010
OR,Oregon,2390,10.57,764481,598,2010
PA,Pennsylvania,11390,8.38,2386648,1400,2010
RI,Rhode Island,799,11.18,197406,238,2010
SC,South Carolina,1537,11.07,656424,400,2010
SD,South Dakota,275,4.98,152702,48,2010
TN,Tennessee,3238,9.64,1009910,509,2010
TX,Texas,27721,8.1,4973591,11124,2010
UT,Utah,1315,7.85,470856,225,2010
VT,Vermont,241,6.08,106532,65,2010
VA,Virgina,10867,7.05,1683447,2014,2010
WA,Washington,10714,9.93,1438778,3145,2010
WV,West Virgina,538,8.58,269019,40,2010
WI,Wisconsin,3290,8.59,1011500,635,2010
WY,Wyoming,125,6.46,156413,20,2010
AL,Alabama,1477,9.54,722659,228,2011
AK,Alaska,180,7.57,235037,19,2011
AZ,Arizona,4337,9.45,1016769,1000,2011
AR,Arkansas,1670,8.22,429149,620,2011
CA,Califonia,64014,11.59,8145187,14135,2011
CO,Colorado,3481,8.33,1050876,701,2011
CT,Connecticut,5802,8.78,936931,625,2011
DE,Delaware,2141,7.49,239749,289,2011
,District of Columbia,3412,10.13,430954,201,2011
FL,Florida,15038,9.8,2965819,3125,2011
GA,Georgia,10747,10.06,1696505,2527,2011
HI,Hawaii,593,6.78,280066,81,2011
ID,Idaho,624,8.32,226975,107,2011
IL,Illinois,18416,9.63,2719104,2446,2011
IN,Indiana,3809,9.03,1166280,605,2011
IA,Iowa,2289,5.48,595373,444,2011
KS,Kansas,1705,6.43,547536,189,2011
KY,Kentucky,1569,9.33,687341,189,2011
LA,Louisiana,1597,7.73,944990,301,2011
ME,Maine,535,7.89,205961,80,2011
